object;date/time;1;2;3;
1;01.11.22 00:00:00;6.52;12.12;6.06;
1;02.11.22 00:00:00;6.52;12.12;6.06;
1;03.11.22 00:00:00;6.52;12.12;6.06;
1;04.11.22 00:00:00;6.52;12.12;6.06;
1;05.11.22 00:00:00;6.52;12.12;6.06;
1;06.11.22 00:00:00;6.52;12.12;6.06;
1;07.11.22 00:00:00;6.52;12.12;6.06;
1;08.11.22 00:00:00;6.52;12.12;6.06;
1;09.11.22 00:00:00;6.52;12.12;6.06;
1;10.11.22 00:00:00;6.52;12.12;6.06;
1;11.11.22 00:00:00;6.52;12.12;6.06;
1;12.11.22 00:00:00;6.52;12.12;6.06;
1;13.11.22 00:00:00;6.52;12.12;6.06;
1;14.11.22 00:00:00;6.52;12.12;6.06;
1;15.11.22 00:00:00;6.52;12.12;6.06;
1;16.11.22 00:00:00;6.52;12.12;6.06;
1;17.11.22 00:00:00;6.52;12.12;6.06;
1;18.11.22 00:00:00;6.52;12.12;6.06;
1;19.11.22 00:00:00;6.52;12.12;6.06;
1;20.11.22 00:00:00;6.52;12.12;6.06;
1;21.11.22 00:00:00;6.52;12.12;6.06;
1;22.11.22 00:00:00;6.52;12.12;6.06;
1;23.11.22 00:00:00;6.52;12.12;6.06;
1;24.11.22 00:00:00;6.52;12.12;6.06;
1;25.11.22 00:00:00;6.52;12.12;6.06;
1;26.11.22 00:00:00;6.52;12.12;6.06;
1;27.11.22 00:00:00;6.52;12.12;6.06;
1;28.11.22 00:00:00;6.52;12.12;6.06;
1;29.11.22 00:00:00;6.52;12.12;6.06;
1;30.11.22 00:00:00;6.52;12.12;6.06;
1;01.12.22 00:00:00;6.52;12.12;6.06;
1;02.12.22 00:00:00;6.52;12.12;6.06;
1;03.12.22 00:00:00;6.52;12.12;6.06;
1;04.12.22 00:00:00;6.52;12.12;6.06;
1;05.12.22 00:00:00;6.52;12.12;6.06;
1;06.12.22 00:00:00;6.52;12.12;6.06;
1;07.12.22 00:00:00;6.52;12.12;6.06;
1;08.12.22 00:00:00;6.52;12.12;6.06;
1;09.12.22 00:00:00;6.52;12.12;6.06;
1;10.12.22 00:00:00;6.52;12.12;6.06;
1;11.12.22 00:00:00;6.52;12.12;6.06;
1;12.12.22 00:00:00;6.52;12.12;6.06;
1;13.12.22 00:00:00;6.52;12.12;6.06;
1;14.12.22 00:00:00;6.52;12.12;6.06;
1;15.12.22 00:00:00;6.52;12.12;6.06;
1;16.12.22 00:00:00;6.52;12.12;6.06;
1;17.12.22 00:00:00;6.52;12.12;6.06;
1;18.12.22 00:00:00;6.52;12.12;6.06;
1;19.12.22 00:00:00;6.52;12.12;6.06;
1;20.12.22 00:00:00;6.52;12.12;6.06;
1;21.12.22 00:00:00;6.52;12.12;6.06;
1;22.12.22 00:00:00;6.52;12.12;6.06;
1;23.12.22 00:00:00;6.52;12.12;6.06;
1;24.12.22 00:00:00;6.52;12.12;6.06;
1;25.12.22 00:00:00;6.52;12.12;6.06;
1;26.12.22 00:00:00;6.52;12.12;6.06;
1;27.12.22 00:00:00;6.52;12.12;6.06;
1;28.12.22 00:00:00;6.52;12.12;6.06;
1;29.12.22 00:00:00;6.52;12.12;6.06;
1;30.12.22 00:00:00;6.52;12.12;6.06;
1;31.12.22 00:00:00;6.52;12.12;6.06;
1;01.01.23 00:00:00;6.52;12.12;6.06;
1;02.01.23 00:00:00;6.52;12.12;6.06;
1;03.01.23 00:00:00;6.52;12.12;6.06;
1;04.01.23 00:00:00;6.52;12.12;6.06;
1;05.01.23 00:00:00;6.52;12.12;6.06;
1;06.01.23 00:00:00;6.52;12.12;6.06;
1;07.01.23 00:00:00;6.52;12.12;6.06;
1;08.01.23 00:00:00;6.52;12.12;6.06;
1;09.01.23 00:00:00;6.52;12.12;6.06;
1;10.01.23 00:00:00;6.52;12.12;6.06;
1;11.01.23 00:00:00;6.52;12.12;6.06;
1;12.01.23 00:00:00;6.52;12.12;6.06;
1;13.01.23 00:00:00;6.52;12.12;6.06;
1;14.01.23 00:00:00;6.52;12.12;6.06;
1;15.01.23 00:00:00;6.52;12.12;6.06;
1;16.01.23 00:00:00;6.52;12.12;6.06;
1;17.01.23 00:00:00;6.52;12.12;6.06;
1;18.01.23 00:00:00;6.52;12.12;6.06;
1;19.01.23 00:00:00;6.52;12.12;6.06;
1;20.01.23 00:00:00;6.52;12.12;6.06;
1;21.01.23 00:00:00;6.52;12.12;6.06;
1;22.01.23 00:00:00;6.52;12.12;6.06;
1;23.01.23 00:00:00;6.52;12.12;6.06;
1;24.01.23 00:00:00;6.52;12.12;6.06;
1;25.01.23 00:00:00;6.52;12.12;6.06;
1;26.01.23 00:00:00;6.52;12.12;6.06;
1;27.01.23 00:00:00;6.52;12.12;6.06;
1;28.01.23 00:00:00;6.52;12.12;6.06;
1;29.01.23 00:00:00;6.52;12.12;6.06;
1;30.01.23 00:00:00;6.52;12.12;6.06;
1;31.01.23 00:00:00;6.52;12.12;6.06;
1;01.02.23 00:00:00;6.52;12.12;6.06;
1;02.02.23 00:00:00;6.52;12.12;6.06;
1;03.02.23 00:00:00;6.52;12.12;6.06;
1;04.02.23 00:00:00;6.52;12.12;6.06;
1;05.02.23 00:00:00;6.52;12.12;6.06;
1;06.02.23 00:00:00;6.52;12.12;6.06;
1;07.02.23 00:00:00;6.52;12.12;6.06;
1;08.02.23 00:00:00;6.52;12.12;6.06;
1;09.02.23 00:00:00;6.52;12.12;6.06;
1;10.02.23 00:00:00;6.52;12.12;6.06;
1;11.02.23 00:00:00;6.52;12.12;6.06;
1;12.02.23 00:00:00;6.52;12.12;6.06;
1;13.02.23 00:00:00;6.52;12.12;6.06;
1;14.02.23 00:00:00;6.52;12.12;6.06;
1;15.02.23 00:00:00;6.52;12.12;6.06;
1;16.02.23 00:00:00;6.52;12.12;6.06;
1;17.02.23 00:00:00;6.52;12.12;6.06;
1;18.02.23 00:00:00;6.52;12.12;6.06;
1;19.02.23 00:00:00;6.52;12.12;6.06;
1;20.02.23 00:00:00;6.52;12.12;6.06;
1;21.02.23 00:00:00;6.52;12.12;6.06;
1;22.02.23 00:00:00;6.52;12.12;6.06;
1;23.02.23 00:00:00;6.52;12.12;6.06;
1;24.02.23 00:00:00;6.52;12.12;6.06;
1;25.02.23 00:00:00;6.52;12.12;6.06;
1;26.02.23 00:00:00;6.52;12.12;6.06;
1;27.02.23 00:00:00;6.52;12.12;6.06;
1;28.02.23 00:00:00;6.52;12.12;6.06;
1;01.03.23 00:00:00;6.52;12.12;6.06;
1;02.03.23 00:00:00;6.52;12.12;6.06;
1;03.03.23 00:00:00;6.52;12.12;6.06;
1;04.03.23 00:00:00;6.52;12.12;6.06;
1;05.03.23 00:00:00;6.52;12.12;6.06;
1;06.03.23 00:00:00;6.52;12.12;6.06;
1;07.03.23 00:00:00;6.52;12.12;6.06;
1;08.03.23 00:00:00;6.52;12.12;6.06;
1;09.03.23 00:00:00;6.52;12.12;6.06;
1;10.03.23 00:00:00;6.52;12.12;6.06;
1;11.03.23 00:00:00;6.52;12.12;6.06;
1;12.03.23 00:00:00;6.52;12.12;6.06;
1;13.03.23 00:00:00;6.52;12.12;6.06;
1;14.03.23 00:00:00;6.52;12.12;6.06;
1;15.03.23 00:00:00;6.52;12.12;6.06;
1;16.03.23 00:00:00;6.52;12.12;6.06;
1;17.03.23 00:00:00;6.52;12.12;6.06;
1;18.03.23 00:00:00;6.52;12.12;6.06;
1;19.03.23 00:00:00;6.52;12.12;6.06;
1;20.03.23 00:00:00;6.52;12.12;6.06;
1;21.03.23 00:00:00;6.52;12.12;6.06;
1;22.03.23 00:00:00;6.52;12.12;6.06;
1;23.03.23 00:00:00;6.52;12.12;6.06;
1;24.03.23 00:00:00;6.52;12.12;6.06;
1;25.03.23 00:00:00;6.52;12.12;6.06;
1;26.03.23 00:00:00;6.52;12.12;6.06;
1;27.03.23 01:00:00;6.52;12.12;6.06;
1;28.03.23 01:00:00;6.52;12.12;6.06;
1;29.03.23 01:00:00;6.52;12.12;6.06;
1;30.03.23 01:00:00;6.52;12.12;6.06;
1;31.03.23 01:00:00;6.52;12.12;6.06;
1;01.04.23 01:00:00;6.52;12.12;6.06;
1;02.04.23 01:00:00;6.52;12.12;6.06;
1;03.04.23 01:00:00;6.52;12.12;6.06;
1;04.04.23 01:00:00;6.52;12.12;6.06;
1;05.04.23 01:00:00;6.52;12.12;6.06;
1;06.04.23 01:00:00;6.52;12.12;6.06;
1;07.04.23 01:00:00;6.52;12.12;6.06;
1;08.04.23 01:00:00;6.52;12.12;6.06;
1;09.04.23 01:00:00;6.52;12.12;6.06;
1;10.04.23 01:00:00;6.52;12.12;6.06;
1;11.04.23 01:00:00;6.52;12.12;6.06;
1;12.04.23 01:00:00;6.52;12.12;6.06;
1;13.04.23 01:00:00;6.52;12.12;6.06;
